name,firstdet,firstdetmag,jump,lastnondet,texp,gap,Npre_g,Npre_r,Npost_g,Npost_r,slope_peak_r,slope_peak_g,slope_peak_r10,slope_peak_g10,peakr,peakre,peakg,peakge,peakrmjd,peakgmjd,redshift,peakr_app,peakg_app,mean_EW,AV_NaD,colorexcess,Avhost,peakrhost,peakghost,peakr_apphost,peakg_apphost,magnitude_change_after,magnitude_change_before,panstarrs_r_mag,panstarrs_r_mag_err,pipeline_ineffciency_host,pipeline_ineffciency_targetbyhost
ZTF23aahqvtz,60059.29,-16.0,1.07,60058.36,60058.825,1.0,9.0,12.0,34.0,35.0,-0.0,-0.0,-0.0,-0.02,-17.07,0.0,-17.12,0.0,60078.29,60071.33,0.02054,17.758205929201182,17.70820592920118,,,-0.3837013761862798,0.0,-17.07,-17.12,17.76,17.71,0.2,,22.624569323664385,0.022989511167661916,0.9982752183321748,0.9966126587650882
ZTF23aaiecnn,60062.17,-15.58,0.93,60060.2,60061.185,2.0,0.0,13.0,10.0,63.0,-0.0,-0.0,-0.01,-0.02,-16.51,0.0,-16.29,0.0,60095.17,60062.24,0.0293,19.103751129759882,19.323751129759884,2.04,1.5912000000000002,-0.165533001913062,0.0,-16.51,-16.29,19.1,19.32,0.3,,20.225978722959546,0.0027176200810043317,0.9654859678526073,0.8157920274730383
ZTF23aailjjs,60063.44,-17.5,0.41,60061.45,60062.445,2.0,1.0,1.0,93.0,151.0,-0.0,-0.0,-0.01,-0.04,-17.91,0.0,-17.88,0.0,60074.47,60066.44,0.03055,17.796481878397376,17.826481878397377,,,-0.1708088531145161,0.0,-17.91,-17.88,17.8,17.83,0.4,,23.264715437681744,0.030447561055851502,0.9981202696777075,0.9982716531517646
ZTF23aaitpjv,60054.35,-134.6,-122.44,60052.34,60053.345,2.0,0.0,0.0,17.0,11.0,-0.01,-0.01,0.0,-0.01,-12.16,0.0,-10.12,0.0,60065.24,60054.35,0.00236,17.737741873520473,19.777741873520476,,,1.653518589008761,5.09,-16.53,-16.15,13.37,13.75,0.2,,18.99881210696492,0.0013615829619715214,0.9983527606406037,0.8380379441229684
ZTF23aajrmfh,60078.96,-137.15,-121.76,60077.38,60078.17,2.0,11.0,19.0,67.0,92.0,-0.0,-0.01,0.01,-0.02,-15.39,0.0,-15.12,0.0,60096.96,60085.35,0.00744,15.481752987396902,15.751752987396904,,,-0.0375955059068433,0.0,-15.39,-15.12,15.48,15.75,0.1,,21.719150147960466,0.007682999460877532,0.9999897338316068,0.9992693876061111
ZTF23aajsjon,60076.39,-16.73,0.32,60067.38,60071.885,9.0,0.0,12.0,25.0,19.0,-0.0,-0.0,0.0,-0.02,-17.05,0.0,-16.91,0.0,60094.46,60076.39,0.0305,18.652844561673657,18.792844561673657,,,-0.3271270553247554,0.0,-17.05,-16.91,18.65,18.79,0.0,,20.896072337083865,0.004496030391904365,0.9872140251806908,0.939599129008082
ZTF23aakirso,60054.49,-14.93,1.19,59935.13,59994.81,119.0,,13.0,,28.0,-0.0,,-0.01,,-16.12,0.0,,,60083.49,,0.027,19.312518717734587,,,,,0.0,-16.12,,19.31,,0.6,0.9,21.91129328911179,0.009037567030631632,0.9458947110579422,0.958629128316855
ZTF23aamfqxc,60097.42,-18.5,0.07,60091.0,60094.21,6.0,0.0,0.0,61.0,72.0,-0.02,-0.01,-0.02,-0.05,-18.57,0.0,-18.49,0.0,60099.41,60097.42,0.01513,15.585531386869114,15.665531386869116,,,0.0937471614663183,0.28,-18.81,-18.82,15.34,15.33,0.7,,21.014002388506654,0.00916842250084488,0.9999870315279857,0.9981930319790603
ZTF23aamqycj,60097.26,-16.72,0.31,60092.36,60094.81,5.0,4.0,3.0,14.0,67.0,-0.0,-0.0,-0.0,-0.03,-17.03,0.0,-17.05,0.0,60120.26,60106.23,0.02506,18.237463558724812,18.217463558724813,,,-0.3930087252963807,0.0,-17.03,-17.05,18.24,18.22,0.1,,21.6449321865237,0.0073662989303247784,0.9949425378222557,0.9828636309338973
ZTF23aamzlzc,60097.28,-15.23,0.58,60093.45,60095.365,4.0,6.0,139.0,74.0,51.0,-0.0,-0.0,-0.02,-0.03,-15.81,0.0,-15.97,0.0,60178.28,60100.45,0.02848,19.740790572707205,19.58079057270721,,,-0.3701615637208202,0.0,-15.81,-15.97,19.74,19.58,,0.1,19.494417082064643,0.0020354012978135777,0.8695393332705764,0.48856217997967827
